"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6822","checkFramesSwitchingTest()","","Wed Apr 15 12:25:45 UTC 2026","passed","Wed Apr 15 12:25:52 UTC 2026","","TheInternet.tests.NestedFramesTests","TheInternet.tests.NestedFramesTests","checkFramesSwitchingTest"
"","4311","purchaseShouldEndWithConfirmationText(String, String, String, String) [3] Phones, Samsung galaxy s6, Jan, 111222","","Wed Apr 15 12:26:13 UTC 2026","passed","Wed Apr 15 12:26:17 UTC 2026","","DemoBlaze.tests.PurchaseTests","DemoBlaze.tests.PurchaseTests","purchaseShouldEndWithConfirmationText"
"","1519","CheckAddingProductsToCart()","","Wed Apr 15 12:25:55 UTC 2026","passed","Wed Apr 15 12:25:56 UTC 2026","","Saucedemo.tests.CartTests","Saucedemo.tests.CartTests","CheckAddingProductsToCart"
"","789","Should show coffee description on hover","","Wed Apr 15 12:26:26 UTC 2026","passed","Wed Apr 15 12:26:27 UTC 2026","","CoffeeCart.tests.HoverTests","CoffeeCart.tests.HoverTests","shouldShowDescriptionOnHover"
"","5973","removingProductShouldUpdateThePrice()","","Wed Apr 15 12:26:17 UTC 2026","passed","Wed Apr 15 12:26:23 UTC 2026","","DemoBlaze.tests.PurchaseTests","DemoBlaze.tests.PurchaseTests","removingProductShouldUpdateThePrice"
"","943","CheckGettingExtraCupOfCoffee()","","Wed Apr 15 12:26:27 UTC 2026","passed","Wed Apr 15 12:26:28 UTC 2026","","CoffeeCart.tests.PromoHunterTests","CoffeeCart.tests.PromoHunterTests","CheckGettingExtraCupOfCoffee"
"","1546","completePurchaseTest()","","Wed Apr 15 12:25:56 UTC 2026","passed","Wed Apr 15 12:25:58 UTC 2026","","Saucedemo.tests.CheckoutTests","Saucedemo.tests.CheckoutTests","completePurchaseTest"
"","674","Check if cart is empty on start","","Wed Apr 15 12:26:26 UTC 2026","passed","Wed Apr 15 12:26:26 UTC 2026","","CoffeeCart.tests.EmptyCartTests","CoffeeCart.tests.EmptyCartTests","cartShouldBeEmptyOnStart"
"","1222","checkSwitchingSquares()","","Wed Apr 15 12:25:52 UTC 2026","passed","Wed Apr 15 12:25:53 UTC 2026","","TheInternet.tests.DragAndDropTests","TheInternet.tests.DragAndDropTests","checkSwitchingSquares"
"","1254","checkSortingTest()","","Wed Apr 15 12:26:00 UTC 2026","passed","Wed Apr 15 12:26:01 UTC 2026","","Saucedemo.tests.SortingTest","Saucedemo.tests.SortingTest","checkSortingTest"
"","1624","chosenProductShouldBeTheMostExpensive()","","Wed Apr 15 12:26:01 UTC 2026","broken","Wed Apr 15 12:26:03 UTC 2026","","DemoBlaze.tests.MainPageTests","DemoBlaze.tests.MainPageTests","chosenProductShouldBeTheMostExpensive"
"","1015","Standard user should be able to login and see inventory page","","Wed Apr 15 12:25:59 UTC 2026","passed","Wed Apr 15 12:26:00 UTC 2026","","Saucedemo.tests.LoginTest","Saucedemo.tests.LoginTest","standardUserLoginTest"
"","1517","Negative: Checkout with empty cart","","Wed Apr 15 12:26:24 UTC 2026","passed","Wed Apr 15 12:26:26 UTC 2026","","CoffeeCart.tests.EmptyCartTests","CoffeeCart.tests.EmptyCartTests","shouldBeAbleToProceedWithEmptyCart"
"","1148","CheckSwitchingBetweenBrowserCarts()","","Wed Apr 15 12:25:53 UTC 2026","passed","Wed Apr 15 12:25:55 UTC 2026","","TheInternet.tests.MultipleWindowsTests","TheInternet.tests.MultipleWindowsTests","CheckSwitchingBetweenBrowserCarts"
"","4442","purchaseShouldEndWithConfirmationText(String, String, String, String) [2] Laptops, MacBook air, Marek, 987654","","Wed Apr 15 12:26:09 UTC 2026","passed","Wed Apr 15 12:26:13 UTC 2026","","DemoBlaze.tests.PurchaseTests","DemoBlaze.tests.PurchaseTests","purchaseShouldEndWithConfirmationText"
"","1618","sendingContactMessageShouldFinishWithConfirmation()","","Wed Apr 15 12:26:03 UTC 2026","passed","Wed Apr 15 12:26:04 UTC 2026","","DemoBlaze.tests.ContactTests","DemoBlaze.tests.ContactTests","sendingContactMessageShouldFinishWithConfirmation"
"","850","CheckSuccessfulCheckout()","","Wed Apr 15 12:26:23 UTC 2026","broken","Wed Apr 15 12:26:24 UTC 2026","","CoffeeCart.tests.CheckoutTests","CoffeeCart.tests.CheckoutTests","CheckSuccessfulCheckout"
"","4369","purchaseShouldEndWithConfirmationText(String, String, String, String) [1] Laptops, Sony vaio i5, Andrzej, 123456","","Wed Apr 15 12:26:04 UTC 2026","passed","Wed Apr 15 12:26:09 UTC 2026","","DemoBlaze.tests.PurchaseTests","DemoBlaze.tests.PurchaseTests","purchaseShouldEndWithConfirmationText"
"","978","Locked out user should see error message","","Wed Apr 15 12:25:58 UTC 2026","passed","Wed Apr 15 12:25:59 UTC 2026","","Saucedemo.tests.LoginTest","Saucedemo.tests.LoginTest","lockedOutUserTest"
